Applicants MCC Licence No;Applicant Name;MCC Medicine Reg. No.;Nappi Code;ATC 4 ;Medicine Schedule;Medicine Proprietary Name;Active Ingredients;Strength;Unit;Dosage Form;Pack Size;Quantity;Manufacturer Price;Logistics Fee;VAT;SEP;Unit Price;Effective Date;Status;Originator or Generic;12 Months Volume of Sales
0000001154;3M South Africa (Pty) Ltd;U/4/104;703312001;N01BA;S4;Xylestesin-A;Lidocaine hydrochloride;20;mg/ml;INJ;50;1;189,10;31,00;33,02;253,12;5,06;01 April 2018;;Originator;
;;;;;;;Adrenaline;0,012;mg/ml;;;;;;;;;;;;
0000001154;3M South Africa (Pty) Ltd;A38/4/0430;710488001;N01BB;S4;Ubistesin;Articaine hydrochloride;40;mg/ml;INJ;50;1;229,91;37,70;40,14;307,76;6,16;01 April 2018;;Originator;
;;;;;;;Adrenaline;0,01;mg/ml;;;;;;;;;;;;
0000001154;3M South Africa (Pty) Ltd;A38/4/0431;710497001;N01BB;S4;Ubistesin Forte;Articaine hydrochloride;40;mg/ml;INJ;50;1;229,91;37,70;40,14;307,76;6,16;01 April 2018;;Originator;
;;;;;;;Adrenaline;0,01;mg/ml;;;;;;;;;;;;
0000000125;Abbott Laboratories SA Pty Ltd;35/7.1/0372;701855001;C09CA;S3;Teveten 600  ;Eprosartan;600;mg;TAB;28;1;224,74;22,31;37,06;284,11;10,15;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;36/21.8.2/0330;703107001;G03FA;S4;Femoston-Conti  ;Dydrogesterone;50;mg;TAB;28;1;181,35;19,79;30,17;231,32;8,26;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;36/21.8.2/0329;703108001;G03FA;S4;Femoston 1/10;Dydrogesterone;10;mg;TAB;28;1;181,37;19,77;30,17;231,32;8,26;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;X/20.1.1/229;704032001;J01FA;S4;Clacee 250mg;Clarithromycin;250;mg;TAB;10;1;75,74;13,37;13,37;102,48;10,25;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;29/20.1.1/0163;704033001;J01FA;S4;Clacee 500mg;Clarithromycin;500;mg;TAB;10;1;80,13;14,13;14,14;108,40;10,84;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;29/20.1.1/0163;704033002;J01FA;S4;Clacee 500mg;Clarithromycin;500;mg;TAB;14;1;112,18;19,79;19,80;151,76;10,84;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;30/7.5/0494;705708001;C10AB;S3;Lipanthyl 200mg;Fenofibrate;200;mg;CAP;30;1;278,64;28,84;46,12;353,61;11,79;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;33/1.2/0354;706443001;N06AB;S5;Faverin 100;Fluvoxamine;100;mg;TAB;30;1;249,07;24,60;41,05;314,73;10,49;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;38/5.6/0040;707452002;N07CA;S3;Serc 24;Betahistine;24;mg;TAB;20;1;228,48;24,68;37,97;291,14;14,56;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;A38/7.1/0728;708096001;C09CA;S3;Teveten Plus ;Eprosartan;600;mg;TAB;28;1;230,69;21,65;37,85;290,19;10,36;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;A39/7.1.3/0531;708279001;C09AA;S3;Mavik (was Gopten) ;Trandolapril;4;mg;CAP;30;1;150,55;17,67;25,23;193,45;6,45;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;33/11.3/0027;710256001;A08AA;S5;Ectiva 10mg;Sibutramine hydrochloride;10;mg;CAP;30;1;179,60;31,69;31,69;242,99;8,10;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;33/11.3/0028;710257001;A08AA;S5;Ectiva 15mg;Sibutramine hydrochloride;15;mg;CAP;30;1;209,54;36,98;36,98;283,49;9,45;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;34/3.3/0178;710392001;R05CA;S2;Mucolator;Acetylcysteine;200;mg;SAC;30;1;44,57;6,80;7,71;59,08;1,97;01 April 2018;;Generic;
0000000125;Abbott Laboratories SA Pty Ltd;A/3.1/727;710822112;M01AE;S1;Brufen 200 ;Ibuprofen;200;mg;TAB;10;1;13,59;1,85;2,32;17,75;1,78;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;A/3.1/727;710822113;M01AE;S1;Brufen 200 ;Ibuprofen;200;mg;TAB;20;1;27,17;3,70;4,63;35,50;1,78;01 April 2018;;Originator;
0000000125;Abbott Laboratories SA Pty Ltd;H/3.1/39;710830131;M01AE;S1;Brufen 400 Extra Strength;Ibuprofen;400;mg;TAB;10;1;22,19;3,01;3,78;28,98;2,90;01 April 2018;;Originator;
